Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
36,10,3995.69,39893.9,282,2820,280.7,2807,1.3,13,0.460993,0.460993,,58293,,18.19,2.70886,0.871235,710.337,1268.37,6.17104,6.16919,2.72,2.85,42.758,51.779,0.488149,0d 0h 0m 29s
37,10,3997.13,39923.7,282,2820,280.8,2808,1.2,12,0.425532,0.425532,,51749,,20.9007,2.32229,0.871196,367.632,1091.93,4.10645,4.10988,2.32,2.85,22.1669,30.8548,0.373276,0d 0h 0m 22s
38,10,3994.29,39891.6,282,2820,280.6,2806,1.4,14,0.496454,0.496454,,42605,,20.4287,2.90252,0.870651,783.538,1518.8,5.94716,5.95291,2.91,2.85,46.7728,55.9367,0.283159,0d 0h 0m 16s
39,10,3999.98,39937.6,282,2820,281,2810,1,10,0.35461,0.35461,,50443,,20.3188,2.50793,0.870347,592.223,1661.66,6.08089,6.07807,2.52,2.85,40.326,56.4143,0.320922,0d 0h 0m 19s
40,10,3856.22,38511.8,282,2820,270.9,2709,11.1,111,3.93617,3.93617,,53066,,18.8117,2.80582,0.870289,495.345,1268.57,5.4745,5.32813,2.91,2.85,31.2906,41.2266,0.334761,0d 0h 0m 20s
41,10,3987.17,39819.7,282,2820,280.1,2801,1.9,19,0.673759,0.673759,,45995,,19.8916,2.80592,0.871269,455.761,1290.05,4.9922,5.00169,2.82,2.85,27.7077,39.8744,0.291662,0d 0h 0m 17s
42,10,3944.46,39378.3,282,2820,277.1,2771,4.9,49,1.73759,1.73759,,440,,16.4906,2.99892,0.871452,760.324,2245.7,7.21895,7.21518,3.01,2.85,47.8929,64.7158,0.420599,0d 0h 0m 25s
43,10,4001.39,39951.8,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,44976,,22.0623,2.31964,0.87102,243.112,1015.84,3.61795,3.61525,2.32,1.85,15.061,25.0197,0.286741,0d 0h 0m 17s
44,10,3813.51,38077.2,282,2820,267.9,2679,14.1,141,5,5,,51990,,18.249,2.90248,0.870339,325.535,1252.79,4.78135,4.73073,3.16,2.85,19.8215,32.7905,0.332087,0d 0h 0m 19s
45,10,3847.67,38416.1,282,2820,270.3,2703,11.7,117,4.14894,4.14894,,62997,,17.8359,2.61227,0.87076,180.472,286.791,4.07268,4.11182,2.72,2.85,11.36,13.4655,0.411155,0d 0h 0m 24s
46,10,3913.14,39085.7,282,2820,274.9,2749,7.1,71,2.51773,2.51773,,51991,,17.6412,2.4189,0.870659,420.858,1028.49,4.73323,4.72726,2.52,2.85,26.8107,37.5071,0.351052,0d 0h 0m 21s
47,10,3469.03,34640.1,282,2820,243.7,2437,38.3,383,13.5816,13.5816,,59377,,17.9395,2.90239,1.83771,251.856,1259.09,4.64241,4.68322,2.92,2.85,15.9694,29.1623,0.366188,0d 0h 0m 21s
48,10,3894.65,38894.3,282,2820,273.6,2736,8.4,84,2.97872,2.97872,,52090,,19.2864,2.61221,1.8378,809.143,2253.34,7.22642,7.24664,2.75,2.85,52.4217,74.3295,0.341258,0d 0h 0m 20s
49,10,3972.94,39667.1,282,2820,279.1,2791,2.9,29,1.02837,1.02837,,56852,,18.0258,2.90258,1.83832,413.571,1273.38,5.01239,5.01722,2.92,2.85,25.0978,37.7572,0.371502,0d 0h 0m 22s
50,10,3988.6,39832.4,282,2820,280.2,2802,1.8,18,0.638298,0.638298,,53718,,21.0993,2.12867,0.870684,419.02,1261.52,4.2178,4.21603,2.13,1.85,25.2835,37.0655,0.329837,0d 0h 0m 19s
51,10,3991.44,39847.8,282,2820,280.4,2804,1.6,16,0.567376,0.567376,,2840,,17.0345,2.61233,1.83781,408.465,1621.79,5.143,5.14762,2.64,2.85,25.6406,41.9221,0.420732,0d 0h 0m 25s
52,10,3997.14,39916.4,282,2820,280.8,2808,1.2,12,0.425532,0.425532,,47596,,22.0642,2.22532,0.870749,443.054,1013.95,4.28326,4.28139,2.22,1.85,26.7228,35.4217,0.317805,0d 0h 0m 19s
53,10,4001.42,39949.4,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,39531,,24.6305,2.12885,0.870982,345.836,1273.52,3.7245,3.72636,2.12,1.85,21.0622,32.1523,0.255838,0d 0h 0m 15s
54,10,3974.35,39686.7,282,2820,279.2,2792,2.8,28,0.992908,0.992908,,48252,,18.2141,3.18658,0.821095,716.093,2267.33,6.36498,6.37835,3.23,2.85,43.2109,59.5604,0.304978,0d 0h 0m 18s
55,10,3857.63,38526,282,2820,271,2710,11,110,3.90071,3.90071,,45811,,20.4077,2.70891,0.870322,327.947,1262.27,4.32092,4.3637,2.72,2.85,19.8815,31.9886,0.301688,0d 0h 0m 18s
56,10,3785.04,37796.8,282,2820,265.9,2659,16.1,161,5.70922,5.70922,,46721,,24.1098,1.93515,0.870996,372.966,1053.28,4.46625,4.47604,1.95,1.85,25.9957,39.8025,0.31932,0d 0h 0m 19s
57,10,3713.86,37085.4,282,2820,260.9,2609,21.1,211,7.48227,7.48227,,44329,,19.537,3.09598,0.870855,547.985,2257.27,5.42975,5.54829,3.11,2.85,33.1756,52.7998,0.3021,0d 0h 0m 18s
58,10,3995.7,39905.6,282,2820,280.7,2807,1.3,13,0.460993,0.460993,,46800,,19.605,2.8973,1.83816,385.358,1253.33,5.04913,5.05839,2.93,2.85,25.2019,35.7726,0.348894,0d 0h 0m 20s
59,10,3740.89,37357.3,282,2820,262.8,2628,19.2,192,6.80851,6.80851,,51730,,19.8395,2.6119,0.871614,460.036,1141.73,5.59031,5.43455,2.73,2.85,31.3492,42.501,0.334343,0d 0h 0m 20s
60,10,3854.79,38489.7,282,2820,270.8,2708,11.2,112,3.97163,3.97163,,60455,,20.0235,2.12872,0.871386,199.207,1010.03,3.65648,3.66679,2.14,1.85,12.9068,21.594,0.413874,0d 0h 0m 24s
61,10,3997.14,39915.7,282,2820,280.8,2808,1.2,12,0.425532,0.425532,,36384,,26.091,1.93503,0.871011,258.933,1654.1,3.21933,3.21996,2.14,1.85,15.7575,32.4746,0.254209,0d 0h 0m 15s
62,10,3708.18,37033.7,282,2820,260.5,2605,21.5,215,7.62411,7.62411,,47971,,20.9792,2.41925,0.870651,428.217,1271.75,4.72584,4.83876,2.52,2.85,26.1316,42.4576,0.345412,0d 0h 0m 20s
63,10,3839.13,38337.7,282,2820,269.7,2697,12.3,123,4.3617,4.3617,,54951,,17.4851,3.09624,1.83857,424.984,1377.61,5.50305,5.42652,3.3,3.75,26.559,37.2911,0.410112,0d 0h 0m 24s
64,10,3984.32,39803.1,282,2820,279.9,2799,2.1,21,0.744681,0.744681,,47751,,19.2549,2.80619,0.871454,441.589,1259.28,5.07836,5.07103,2.98,2.85,26.743,35.9695,0.348193,0d 0h 0m 20s
65,10,3847.68,38436.2,282,2820,270.3,2703,11.7,117,4.14894,4.14894,,47482,,19.9435,2.80554,0.871075,328.645,1007.3,4.31411,4.27328,2.82,2.85,19.8199,28.2909,0.293606,0d 0h 0m 17s
